"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 TIME 0.75 FSM 2","8.307E-09","0.6758","41","All",1,0.999935,6.51925E-05,0.500001,6.5192E-5,6.51925E-05,1,6.51925E-05,9.99945E-06,3,3.60812,0.654865,0.2,0.199999,0.199999,0.2,0.200002,1,1,0.126189,0.100001,,,6.23073E-05,,,,,4.51109E-11,5.77297E-13,2.885E-6,0.3124,9.99994,9.99995,19.9999,0.000109495,9.99994,9.99995,8.22119E-06,1.0718E-5,6.3736E-7,1.13554E-5,2.31856E-06,7.06287E-07,9.12744E-05,9.94956E-05,3.60814E-05,5.5193E-05,8.98118E-07,5.42949E-05,0,6.23073E-5,0.100001,4.51109E-11,5.77297E-13,9.02579E-18,0.016054,0,-1.40364E-15,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,6.51925E-5,6.51925E-05,0.999935,1.30437E-11,6.23073E-05,4.51109E-11,5.77297E-13,1.98382E-6,9.0132E-7
"Risk Neutral CM 0.25 TIME 0.75 FSM 2","8.307E-09","0.6758","41","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,3.00002,3.60812,0.654866,0.199996,0.199998,0.2,0.200002,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.60814E-05,10,9.99996,0,0,0,0,0,0,3.60814E-05,3.60814E-05,3.60814E-05,0,0,0,0,0,,0,0,0,,0,-1.31427E-06,0.176195,0.215678,0.216243,0.215682,0.176201,0.176195,0.215678,0.216244,0.215683,0.176201,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 TIME 0.75 FSM 2","8.307E-09","0.6758","41","DisputeArises",6.5E-5,0,1,0.451539,1,1,1,1,0.153383,2.7577,3.52368,0.641076,0.258938,0.220894,0.189393,0.165083,0.165692,1,1,0.126189,0.100001,,,0.955743,,,,,6.91964E-07,8.85528E-09,0.044256,0.3124,9.04386,9.83,18.8739,1.12614,9.04386,9.83,0.126106,0.164406,0.0097765,0.174183,0.0355649,0.0108339,0.846652,0.972758,3.52368E-05,0.846617,0.0137764,0.83284,0,0.955743,0.100001,6.91964E-07,8.85528E-09,1.38448E-13,0.016054,0,0.0201585,0.217637,0.2473,0.216228,0.184059,0.134776,0.220768,0.255548,0.209342,0.18072,0.133622,1,1,2.0008E-07,2.0008E-07,0.955743,6.91964E-07,8.85528E-09,0.0304302,0.0138255
"Risk Neutral CM 0.25 TIME 0.75 FSM 2","8.307E-09","0.6758","41","PFiles",6.5E-5,0,1,0.451539,1,1,1,1,0.153383,2.7577,3.52368,0.641076,0.258938,0.220894,0.189393,0.165083,0.165692,1,1,0.126189,0.100001,,,0.955743,,,,,6.91964E-07,8.85528E-09,0.044256,0.3124,9.04386,9.83,18.8739,1.12614,9.04386,9.83,0.126106,0.164406,0.0097765,0.174183,0.0355649,0.0108339,0.846652,0.972758,3.52368E-05,0.846617,0.0137764,0.83284,0,0.955743,0.100001,6.91964E-07,8.85528E-09,1.38448E-13,0.016054,0,0.0201585,0.217637,0.2473,0.216228,0.184059,0.134776,0.220768,0.255548,0.209342,0.18072,0.133622,1,1,0,2.0008E-07,0.955743,6.91964E-07,8.85528E-09,0.0304302,0.0138255
"Risk Neutral CM 0.25 TIME 0.75 FSM 2","8.307E-09","0.6758","41","DAnswers",6.5E-5,0,1,0.451539,1,1,1,1,0.153383,2.7577,3.52368,0.641076,0.258938,0.220894,0.189393,0.165083,0.165692,1,1,0.126189,0.100001,,,0.955744,,,,,6.91964E-07,8.85528E-09,0.044256,0.3124,9.04386,9.83,18.8739,1.12614,9.04386,9.83,0.126106,0.164406,0.0097765,0.174183,0.0355647,0.0108339,0.846652,0.972758,3.52368E-05,0.846617,0.0137764,0.83284,0,0.955744,0.100001,6.91964E-07,8.85528E-09,1.38448E-13,0.016054,0,0.0201585,0.217637,0.2473,0.216228,0.184059,0.134776,0.220768,0.255548,0.209342,0.18072,0.133622,1,1,0,0,0.955744,6.91964E-07,8.85528E-09,0.0304302,0.0138255
"Risk Neutral CM 0.25 TIME 0.75 FSM 2","8.307E-09","0.6758","41","Litigated",6.5E-5,0,1,0.451539,1,1,1,1,0.153383,2.7577,3.52368,0.641076,0.258938,0.220894,0.189393,0.165083,0.165692,1,1,0.126189,0.100001,,,0.955744,,,,,6.91964E-07,8.85528E-09,0.044256,0.3124,9.04386,9.83,18.8739,1.12614,9.04386,9.83,0.126106,0.164406,0.0097765,0.174183,0.0355647,0.0108339,0.846652,0.972758,3.52368E-05,0.846617,0.0137764,0.83284,0,0.955744,0.100001,6.91964E-07,8.85528E-09,1.38448E-13,0.016054,0,0.0201585,0.217637,0.2473,0.216228,0.184059,0.134776,0.220768,0.255548,0.209342,0.18072,0.133622,1,1,0,0,0.955744,6.91964E-07,8.85528E-09,0.0304302,0.0138255
"Risk Neutral CM 0.25 TIME 0.75 FSM 2","8.307E-09","0.6758","41","Not Litigated",0.9999,1,2.60891E-11,0.500004,1.304E-11,0,1,2.60891E-11,4.00164E-12,3.00002,3.60812,0.654866,0.199996,0.199998,0.2,0.200002,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,3.60815E-05,10,9.99996,4.89171E-13,1.284E-11,2.173E-13,1.3052E-11,1.28351E-11,2.09712E-13,3.60815E-05,3.60815E-05,3.60814E-05,2.20875E-11,3.59414E-13,2.17281E-11,0,0,,0,0,0,0.016054,0,-1.31427E-06,0.176195,0.215678,0.216243,0.215682,0.176201,0.176195,0.215678,0.216244,0.215683,0.176201,1.3045E-11,0,1,1.30446E-11,0,0,0,0,0
"Risk Neutral CM 0.25 TIME 0.75 FSM 2","8.307E-09","0.6758","41","Settles",6.2E-5,0,1,0.449267,1,1,1,1,0.15389,2.74634,3.54793,0.62983,0.269399,0.220775,0.175801,0.162142,0.171883,1,1,0.100001,0.100001,,,1,,,,,0,0,0,,9.0375,9.83746,18.875,1.12504,9.0375,9.83746,0.125,0.161731,0.004553,0.166284,0.0262815,0.00438218,0.846145,0.971145,3.54793E-05,0.84611,0.00410529,0.842004,0,1,0.100001,0,0,0,0.00473097,0,-0.0926325,0.227714,0.258751,0.22624,0.156291,0.131004,0.219889,0.232179,0.219035,0.189088,0.139809,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 TIME 0.75 FSM 2","8.307E-09","0.6758","41","Tried",2.9E-6,0,1,0.500608,1,1,1,1,0.142437,3.00304,3,0.88394,0.0330352,0.223475,0.482904,0.228584,0.0320011,1,1,0.691754,0.100001,,,0,,,,,0,0,1,0.3124,9.18112,9.66885,18.85,1.15003,9.18112,9.66885,0.15,0.222172,0.122583,0.344755,0.236044,0.150165,0.857593,1.00759,3E-05,0.857563,0.222634,0.634929,0,0,,0,0,0,0.260586,0,2.45599,1.03043E-06,1.10436E-06,2.44229E-06,0.783752,0.216244,0.239762,0.760236,1.55944E-06,5.65194E-07,3.02323E-07,1,1,0,0,0,0,0,0.6876,0.3124
"Risk Neutral CM 0.25 TIME 0.75 FSM 2","8.307E-09","0.6758","41","PWins",9E-07,0,1,0.60844,1,1,1,1,0.144091,3.5422,2.99999,0.992819,0.00122535,0.0550405,0.429913,0.427949,0.0858724,1,1,0.717427,0.100001,,,0,,,,,0,0,1,1,10.075,8.77497,18.85,1.15003,10.075,8.77497,0.15,0.711177,0,0.711177,0.755582,0,0.855939,1.00594,2.99999E-05,0.855909,0.438894,0.417014,0,0,,0,0,0,0.513823,0,2.46076,9.2584E-07,1.45719E-06,2.27827E-06,0.687131,0.312864,0.147911,0.852083,3.33078E-06,1.27527E-06,8.11943E-07,1,1,0,0,0,0,0,0,1
